X,Y,Z,REF_POINT
-17.16938018798828,-7.319450378417969,-15.91949462890625,1
-16.943931579589844,-7.769012451171875,-15.537261962890625,1
-16.625595092773438,-7.259941101074219,-15.074920654296875,1
-16.9219970703125,-6.969451904296875,-15.91949462890625,1
-16.83349609375,-7.332611083984375,-15.283966064453125,1
-17.010498046875,-6.878662109375,-15.102386474609375,1
-16.83349609375,-7.514190673828125,-15.7379150390625,1
-17.01030731201172,-7.60498046875,-15.465545654296875,1
-16.4794921875,-7.42340087890625,-15.283966064453125,1
-17.01030731201172,-7.42340087890625,-15.465545654296875,1
-16.83349609375,-7.60498046875,-15.102386474609375,1
-16.56780242919922,-7.968330383300781,-15.0115966796875,1
-16.302490234375,-7.514190673828125,-15.19317626953125,1
-17.010498046875,-7.695770263671875,-15.19317626953125,1
-17.0989990234375,-7.423591613769531,-15.374755859375,1
-16.7449951171875,-7.4237823486328125,-15.465545654296875,1
-17.09880828857422,-7.514381408691406,-15.283966064453125,1
-16.83330535888672,-7.786750793457031,-15.19317626953125,1
-16.2139892578125,-7.605171203613281,-15.19317626953125,1
-16.7449951171875,-7.514381408691406,-15.828704833984375,1
-17.36431121826172,-7.514381408691406,-15.91949462890625,1
-17.717933654785156,-7.151031494140625,-16.191864013671875,1
-17.540931701660156,-7.2418212890625,-15.55633544921875,1
-17.0989990234375,-6.606292724609375,-15.374755859375,1
-17.0989990234375,-7.242012023925781,-15.647125244140625,1
-17.010498046875,-8.059501647949219,-16.192054748535156,1
-17.01030731201172,-7.605171203613281,-15.374755859375,1
-17.27581024169922,-7.2418212890625,-15.7379150390625,1
-17.36431121826172,-7.06024169921875,-15.55633544921875,1
-17.010498046875,-7.06024169921875,-15.647125244140625,1
-17.45281219482422,-6.969451904296875,-15.55633544921875,1
-17.364120483398438,-6.878852844238281,-15.647125244140625,1
-16.92180633544922,-7.423591613769531,-15.465545654296875,1
-17.098617553710938,-7.06024169921875,-15.283966064453125,1
-17.452430725097656,-6.787872314453125,-15.283966064453125,1
-17.27581024169922,-7.332801818847656,-15.55633544921875,1
-17.0989990234375,-7.605171203613281,-15.7379150390625,1
-17.1875,-7.877540588378906,-15.91949462890625,1
-16.83349609375,-7.9681396484375,-15.828704833984375,1
-16.83330535888672,-7.42340087890625,-15.55633544921875,1
-17.983245849609375,-2.973175048828125,-16.373634338378906,2
-17.717933654785156,-3.24554443359375,-16.4642333984375,2
-17.806243896484375,-3.4271240234375,-16.4642333984375,2
-17.364120483398438,-2.8825759887695313,-16.10107421875,2
-17.629432678222656,-2.6103973388671875,-15.91949462890625,2
-17.18730926513672,-3.4273147583007813,-16.191864013671875,2
-17.452621459960938,-3.6088943481445313,-16.373634338378906,2
-17.806434631347656,-3.154754638671875,-16.373825073242188,2
-17.718124389648438,-2.610015869140625,-16.192054748535156,2
-17.452621459960938,-2.9733657836914063,-16.46442413330078,2
-17.364120483398438,-2.7917861938476563,-16.191864013671875,2
-18.071556091308594,-3.06396484375,-15.91949462890625,2
-17.894744873046875,-3.06396484375,-16.28265380859375,2
-17.894744873046875,-3.3367156982421875,-16.555023193359375,2
-17.717742919921875,-2.88238525390625,-16.46442413330078,2
-17.540931701660156,-2.8825759887695313,-16.28265380859375,2
-17.629623413085938,-2.8825759887695313,-16.010284423828125,2
-18.160438537597656,-2.610015869140625,-15.91949462890625,2
-17.717742919921875,-2.88238525390625,-16.010284423828125,2
-18.160057067871094,-2.610015869140625,-16.28265380859375,2
-18.337249755859375,-3.1549453735351563,-16.4642333984375,2
-17.717933654785156,-3.5182952880859375,-15.91949462890625,2
-17.629623413085938,-3.2457351684570313,-15.91949462890625,2
-18.248558044433594,-3.4275054931640625,-16.46442413330078,2
-18.248558044433594,-3.1551361083984375,-16.28284454345703,2
-17.541122436523438,-2.337646484375,-16.28265380859375,2
-17.452621459960938,-2.8825759887695313,-16.64600372314453,2
-17.806243896484375,-3.0641555786132813,-16.373825073242188,2
-18.071556091308594,-2.973175048828125,-15.91949462890625,2
-17.894744873046875,-3.154754638671875,-15.91949462890625,2
-17.45281219482422,-2.791595458984375,-15.828704833984375,2
-17.718124389648438,-3.2457351684570313,-16.646194458007813,2
-17.983245849609375,-3.3365249633789063,-16.46442413330078,2
-17.364120483398438,-2.9733657836914063,-16.555023193359375,2
-17.717933654785156,-2.791595458984375,-16.82758331298828,2
-18.514251708984375,-2.973175048828125,-16.827774047851563,2
-17.718124389648438,-3.336334228515625,-16.373634338378906,2
-17.364120483398438,-3.154754638671875,-16.373443603515625,2
-17.629432678222656,-2.973175048828125,-16.191864013671875,2
-17.894935607910156,-3.154754638671875,-16.10107421875,2
-10.832023620605469,7.087898254394531,-21.27227783203125,3
-11.009025573730469,7.269477844238281,-20.636558532714844,3
-10.478019714355469,7.178497314453125,-20.636558532714844,3
-11.274337768554688,7.360076904296875,-20.999908447265625,3
-11.362838745117188,6.996917724609375,-20.454978942871094,3
-10.478019714355469,7.7236175537109375,-20.999717712402344,3
-10.389518737792969,7.360267639160156,-20.817947387695313,3
-10.566520690917969,6.9061279296875,-20.818138122558594,3
-10.38970947265625,6.452178955078125,-21.181488037109375,3
-10.30120849609375,7.08770751953125,-20.54576873779297,3
-10.478019714355469,7.178497314453125,-20.7275390625,3
-10.389518737792969,6.996917724609375,-21.181488037109375,3
-10.47821044921875,7.178497314453125,-21.453857421875,3
-10.65521240234375,6.54296875,-21.0906982421875,3
-10.920524597167969,6.633758544921875,-20.72734832763672,3
-11.097526550292969,6.815528869628906,-20.999526977539063,3
-11.362648010253906,7.087898254394531,-20.636558532714844,3
